Processes generated using the pseudo-random number generator and this command-line:
--> CPU burst 1987 ms --> I/O burst 1162 ms
--> CPU burst 1995 ms --> I/O burst 1075 ms
--> CPU burst 1279 ms --> I/O burst 203 ms
--> CPU burst 1332 ms --> I/O burst 2014 ms
--> CPU burst 2488 ms --> I/O burst 144 ms
--> CPU burst 1124 ms --> I/O burst 434 ms
--> CPU burst 57 ms --> I/O burst 441 ms
--> CPU burst 835 ms --> I/O burst 740 ms
--> CPU burst 436 ms --> I/O burst 232 ms
--> CPU burst 1108 ms --> I/O burst 1297 ms
--> CPU burst 231 ms --> I/O burst 502 ms
--> CPU burst 445 ms --> I/O burst 647 ms
--> CPU burst 2005 ms --> I/O burst 906 ms
--> CPU burst 366 ms --> I/O burst 623 ms
--> CPU burst 1680 ms --> I/O burst 448 ms
--> CPU burst 1131 ms --> I/O burst 727 ms
--> CPU burst 1002 ms --> I/O burst 14 ms
--> CPU burst 954 ms --> I/O burst 518 ms
--> CPU burst 157 ms --> I/O burst 750 ms
--> CPU burst 417 ms --> I/O burst 1726 ms
--> CPU burst 1531 ms --> I/O burst 69 ms
--> CPU burst 938 ms --> I/O burst 282 ms
--> CPU burst 373 ms --> I/O burst 318 ms
--> CPU burst 24 ms --> I/O burst 605 ms
--> CPU burst 284 ms --> I/O burst 1365 ms
--> CPU burst 1319 ms --> I/O burst 1796 ms
--> CPU burst 1807 ms --> I/O burst 119 ms
--> CPU burst 2017 ms --> I/O burst 585 ms
--> CPU burst 1412 ms --> I/O burst 85 ms
--> CPU burst 957 ms --> I/O burst 987 ms
--> CPU burst 740 ms --> I/O burst 265 ms
--> CPU burst 596 ms --> I/O burst 510 ms
--> CPU burst 464 ms --> I/O burst 992 ms
--> CPU burst 1281 ms --> I/O burst 111 ms
--> CPU burst 123 ms --> I/O burst 1492 ms
--> CPU burst 682 ms --> I/O burst 327 ms
--> CPU burst 874 ms --> I/O burst 234 ms
--> CPU burst 109 ms --> I/O burst 309 ms
--> CPU burst 179 ms
Process E [NEW] (arrival time 2322 ms) 25 CPU bursts
--> CPU burst 308 ms --> I/O burst 2266 ms
--> CPU burst 582 ms --> I/O burst 191 ms
--> CPU burst 996 ms --> I/O burst 830 ms
--> CPU burst 47 ms --> I/O burst 361 ms
--> CPU burst 194 ms --> I/O burst 1829 ms
--> CPU burst 403 ms --> I/O burst 1109 ms
--> CPU burst 553 ms --> I/O burst 586 ms
--> CPU burst 1721 ms --> I/O burst 1249 ms
--> CPU burst 370 ms --> I/O burst 442 ms
--> CPU burst 56 ms --> I/O burst 1332 ms
--> CPU burst 538 ms --> I/O burst 394 ms
--> CPU burst 1564 ms --> I/O burst 697 ms
--> CPU burst 75 ms --> I/O burst 199 ms
--> CPU burst 843 ms --> I/O burst 2669 ms
--> CPU burst 1675 ms --> I/O burst 392 ms
--> CPU burst 783 ms --> I/O burst 712 ms
--> CPU burst 1745 ms --> I/O burst 150 ms
--> CPU burst 40 ms --> I/O burst 119 ms
--> CPU burst 213 ms --> I/O burst 1956 ms
--> CPU burst 1220 ms --> I/O burst 181 ms
--> CPU burst 900 ms --> I/O burst 970 ms
--> CPU burst 1405 ms --> I/O burst 252 ms
--> CPU burst 1236 ms --> I/O burst 981 ms
--> CPU burst 2235 ms --> I/O burst 1238 ms
--> CPU burst 232 ms
Process F [NEW] (arrival time 791 ms) 44 CPU bursts
--> CPU burst 206 ms --> I/O burst 488 ms
--> CPU burst 1063 ms --> I/O burst 719 ms
--> CPU burst 604 ms --> I/O burst 446 ms
--> CPU burst 211 ms --> I/O burst 1964 ms
--> CPU burst 917 ms --> I/O burst 1095 ms
--> CPU burst 2210 ms --> I/O burst 439 ms
--> CPU burst 928 ms --> I/O burst 771 ms
--> CPU burst 1106 ms --> I/O burst 61 ms
--> CPU burst 35 ms --> I/O burst 1267 ms
--> CPU burst 450 ms --> I/O burst 1191 ms
--> CPU burst 615 ms --> I/O burst 268 ms
--> CPU burst 2517 ms --> I/O burst 836 ms
--> CPU burst 421 ms --> I/O burst 873 ms
--> CPU burst 1404 ms --> I/O burst 415 ms
--> CPU burst 864 ms --> I/O burst 2384 ms
--> CPU burst 489 ms --> I/O burst 530 ms
--> CPU burst 25 ms --> I/O burst 2291 ms
--> CPU burst 808 ms --> I/O burst 685 ms
--> CPU burst 167 ms --> I/O burst 1038 ms
--> CPU burst 493 ms --> I/O burst 523 ms
--> CPU burst 126 ms --> I/O burst 49 ms
--> CPU burst 2179 ms --> I/O burst 209 ms
--> CPU burst 559 ms --> I/O burst 165 ms
--> CPU burst 911 ms --> I/O burst 922 ms
--> CPU burst 346 ms --> I/O burst 1568 ms
--> CPU burst 234 ms --> I/O burst 841 ms
--> CPU burst 2098 ms --> I/O burst 128 ms
--> CPU burst 966 ms --> I/O burst 303 ms
--> CPU burst 379 ms --> I/O burst 221 ms
--> CPU burst 526 ms --> I/O burst 75 ms
--> CPU burst 1972 ms --> I/O burst 395 ms
--> CPU burst 1219 ms --> I/O burst 2010 ms
--> CPU burst 372 ms --> I/O burst 579 ms
--> CPU burst 1115 ms --> I/O burst 2161 ms
--> CPU burst 143 ms --> I/O burst 197 ms
--> CPU burst 568 ms --> I/O burst 2895 ms
--> CPU burst 1324 ms --> I/O burst 889 ms
--> CPU burst 170 ms --> I/O burst 2091 ms
--> CPU burst 812 ms --> I/O burst 621 ms
--> CPU burst 907 ms --> I/O burst 965 ms
--> CPU burst 136 ms --> I/O burst 1387 ms
--> CPU burst 691 ms --> I/O burst 40 ms
--> CPU burst 1796 ms --> I/O burst 707 ms
--> CPU burst 384 ms
Process G [NEW] (arrival time 509 ms) 69 CPU bursts
--> CPU burst 75 ms --> I/O burst 2895 ms
--> CPU burst 1198 ms --> I/O burst 571 ms
--> CPU burst 962 ms --> I/O burst 1846 ms
--> CPU burst 961 ms --> I/O burst 351 ms
--> CPU burst 1124 ms --> I/O burst 1647 ms
--> CPU burst 748 ms --> I/O burst 323 ms
--> CPU burst 116 ms --> I/O burst 2956 ms
--> CPU burst 41 ms --> I/O burst 1935 ms
--> CPU burst 576 ms --> I/O burst 665 ms
--> CPU burst 1518 ms --> I/O burst 191 ms
--> CPU burst 390 ms --> I/O burst 266 ms
--> CPU burst 825 ms --> I/O burst 544 ms
--> CPU burst 1609 ms --> I/O burst 1014 ms
--> CPU burst 417 ms --> I/O burst 1146 ms
--> CPU burst 1097 ms --> I/O burst 419 ms
--> CPU burst 885 ms --> I/O burst 2743 ms
--> CPU burst 758 ms --> I/O burst 1108 ms
--> CPU burst 2555 ms --> I/O burst 77 ms
--> CPU burst 1376 ms --> I/O burst 208 ms
--> CPU burst 438 ms --> I/O burst 405 ms
--> CPU burst 1978 ms --> I/O burst 244 ms
--> CPU burst 146 ms --> I/O burst 563 ms
--> CPU burst 525 ms --> I/O burst 24 ms
--> CPU burst 587 ms --> I/O burst 1761 ms
--> CPU burst 1968 ms --> I/O burst 75 ms
--> CPU burst 83 ms --> I/O burst 946 ms
--> CPU burst 1066 ms --> I/O burst 799 ms
--> CPU burst 566 ms --> I/O burst 766 ms
--> CPU burst 1883 ms --> I/O burst 931 ms
--> CPU burst 1018 ms --> I/O burst 856 ms
--> CPU burst 1022 ms --> I/O burst 440 ms
--> CPU burst 116 ms --> I/O burst 1858 ms
--> CPU burst 209 ms --> I/O burst 546 ms
--> CPU burst 1421 ms --> I/O burst 1532 ms
--> CPU burst 1068 ms --> I/O burst 600 ms
--> CPU burst 159 ms --> I/O burst 123 ms
--> CPU burst 877 ms --> I/O burst 307 ms
--> CPU burst 990 ms --> I/O burst 1728 ms
--> CPU burst 28 ms --> I/O burst 1032 ms
--> CPU burst 1915 ms --> I/O burst 1191 ms
--> CPU burst 2086 ms --> I/O burst 242 ms
--> CPU burst 2091 ms --> I/O burst 371 ms
--> CPU burst 284 ms --> I/O burst 1285 ms
--> CPU burst 369 ms --> I/O burst 445 ms
--> CPU burst 31 ms --> I/O burst 70 ms
--> CPU burst 203 ms --> I/O burst 2771 ms
--> CPU burst 2168 ms --> I/O burst 618 ms
--> CPU burst 1024 ms --> I/O burst 828 ms
--> CPU burst 614 ms --> I/O burst 121 ms
--> CPU burst 770 ms --> I/O burst 805 ms
--> CPU burst 1187 ms --> I/O burst 643 ms
--> CPU burst 428 ms --> I/O burst 460 ms
--> CPU burst 2138 ms --> I/O burst 1016 ms
--> CPU burst 171 ms --> I/O burst 1599 ms
--> CPU burst 19 ms --> I/O burst 851 ms
--> CPU burst 888 ms --> I/O burst 922 ms
--> CPU burst 2224 ms --> I/O burst 2012 ms
--> CPU burst 1054 ms --> I/O burst 604 ms
--> CPU burst 599 ms --> I/O burst 530 ms
--> CPU burst 2339 ms --> I/O burst 605 ms
--> CPU burst 262 ms --> I/O burst 1122 ms
--> CPU burst 864 ms --> I/O burst 836 ms
--> CPU burst 782 ms --> I/O burst 14 ms
--> CPU burst 203 ms --> I/O burst 1510 ms
--> CPU burst 335 ms --> I/O burst 768 ms
--> CPU burst 1124 ms --> I/O burst 541 ms
--> CPU burst 602 ms --> I/O burst 580 ms
--> CPU burst 102 ms --> I/O burst 22 ms
--> CPU burst 410 ms
Process H [NEW] (arrival time 662 ms) 56 CPU bursts
--> CPU burst 1423 ms --> I/O burst 1576 ms
--> CPU burst 223 ms --> I/O burst 147 ms
--> CPU burst 1207 ms --> I/O burst 31 ms
--> CPU burst 99 ms --> I/O burst 581 ms
--> CPU burst 250 ms --> I/O burst 1058 ms
--> CPU burst 421 ms --> I/O burst 105 ms
--> CPU burst 1797 ms --> I/O burst 2481 ms
--> CPU burst 1350 ms --> I/O burst 788 ms
--> CPU burst 36 ms --> I/O burst 616 ms
--> CPU burst 127 ms --> I/O burst 1013 ms
--> CPU burst 259 ms --> I/O burst 168 ms
--> CPU burst 3 ms --> I/O burst 592 ms
--> CPU burst 958 ms --> I/O burst 91 ms
--> CPU burst 1782 ms --> I/O burst 126 ms
--> CPU burst 63 ms --> I/O burst 22 ms
--> CPU burst 60 ms --> I/O burst 493 ms
--> CPU burst 1653 ms --> I/O burst 116 ms
--> CPU burst 181 ms --> I/O burst 323 ms
--> CPU burst 853 ms --> I/O burst 85 ms
--> CPU burst 572 ms --> I/O burst 487 ms
--> CPU burst 1844 ms --> I/O burst 485 ms
--> CPU burst 949 ms --> I/O burst 956 ms
--> CPU burst 1532 ms --> I/O burst 62 ms
--> CPU burst 216 ms --> I/O burst 735 ms
--> CPU burst 1232 ms --> I/O burst 1283 ms
--> CPU burst 277 ms --> I/O burst 40 ms
--> CPU burst 762 ms --> I/O burst 100 ms
--> CPU burst 369 ms --> I/O burst 1826 ms
--> CPU burst 1259 ms --> I/O burst 1703 ms
--> CPU burst 722 ms --> I/O burst 275 ms
--> CPU burst 1510 ms --> I/O burst 611 ms
--> CPU burst 450 ms --> I/O burst 471 ms
--> CPU burst 330 ms --> I/O burst 51 ms
--> CPU burst 1720 ms --> I/O burst 1163 ms
--> CPU burst 285 ms --> I/O burst 1374 ms
--> CPU burst 1793 ms --> I/O burst 888 ms
--> CPU burst 76 ms --> I/O burst 356 ms
--> CPU burst 387 ms --> I/O burst 754 ms
--> CPU burst 617 ms --> I/O burst 1044 ms
--> CPU burst 1035 ms --> I/O burst 90 ms
--> CPU burst 874 ms --> I/O burst 865 ms
--> CPU burst 1148 ms --> I/O burst 841 ms
--> CPU burst 1 ms --> I/O burst 1499 ms
--> CPU burst 500 ms --> I/O burst 356 ms
--> CPU burst 324 ms --> I/O burst 2514 ms
--> CPU burst 2104 ms --> I/O burst 2292 ms
--> CPU burst 2225 ms --> I/O burst 509 ms
--> CPU burst 1218 ms --> I/O burst 525 ms
--> CPU burst 338 ms --> I/O burst 749 ms
--> CPU burst 604 ms --> I/O burst 777 ms
--> CPU burst 1175 ms --> I/O burst 1142 ms
--> CPU burst 766 ms --> I/O burst 1309 ms
--> CPU burst 1348 ms --> I/O burst 1446 ms
--> CPU burst 640 ms --> I/O burst 8 ms
--> CPU burst 121 ms --> I/O burst 1219 ms
--> CPU burst 397 ms
Process I [NEW] (arrival time 2414 ms) 91 CPU bursts
--> CPU burst 331 ms --> I/O burst 2502 ms
--> CPU burst 509 ms --> I/O burst 30 ms
--> CPU burst 1955 ms --> I/O burst 18 ms
--> CPU burst 208 ms --> I/O burst 889 ms
--> CPU burst 386 ms --> I/O burst 1717 ms
--> CPU burst 238 ms --> I/O burst 1139 ms
--> CPU burst 1333 ms --> I/O burst 72 ms
--> CPU burst 2548 ms --> I/O burst 152 ms
--> CPU burst 979 ms --> I/O burst 714 ms
--> CPU burst 308 ms --> I/O burst 291 ms
--> CPU burst 156 ms --> I/O burst 1026 ms
--> CPU burst 22 ms --> I/O burst 161 ms
--> CPU burst 321 ms --> I/O burst 102 ms
--> CPU burst 2067 ms --> I/O burst 350 ms
--> CPU burst 334 ms --> I/O burst 396 ms
--> CPU burst 619 ms --> I/O burst 121 ms
--> CPU burst 513 ms --> I/O burst 761 ms
--> CPU burst 1525 ms --> I/O burst 3 ms
--> CPU burst 396 ms --> I/O burst 1106 ms
--> CPU burst 965 ms --> I/O burst 630 ms
--> CPU burst 1642 ms --> I/O burst 307 ms
--> CPU burst 293 ms --> I/O burst 1707 ms
--> CPU burst 263 ms --> I/O burst 214 ms
--> CPU burst 672 ms --> I/O burst 736 ms
--> CPU burst 130 ms --> I/O burst 343 ms
--> CPU burst 505 ms --> I/O burst 24 ms
--> CPU burst 83 ms --> I/O burst 475 ms
--> CPU burst 43 ms --> I/O burst 297 ms
--> CPU burst 612 ms --> I/O burst 6 ms
--> CPU burst 262 ms --> I/O burst 92 ms
--> CPU burst 324 ms --> I/O burst 105 ms
--> CPU burst 166 ms --> I/O burst 1432 ms
--> CPU burst 468 ms --> I/O burst 169 ms
--> CPU burst 153 ms --> I/O burst 2257 ms
--> CPU burst 436 ms --> I/O burst 1155 ms
--> CPU burst 1184 ms --> I/O burst 1010 ms
--> CPU burst 1328 ms --> I/O burst 292 ms
--> CPU burst 171 ms --> I/O burst 1764 ms
--> CPU burst 48 ms --> I/O burst 145 ms
--> CPU burst 1766 ms --> I/O burst 817 ms
--> CPU burst 225 ms --> I/O burst 380 ms
--> CPU burst 33 ms --> I/O burst 2471 ms
--> CPU burst 601 ms --> I/O burst 1052 ms
--> CPU burst 1665 ms --> I/O burst 1456 ms
--> CPU burst 2062 ms --> I/O burst 191 ms
--> CPU burst 619 ms --> I/O burst 144 ms
--> CPU burst 562 ms --> I/O burst 511 ms
--> CPU burst 79 ms --> I/O burst 1684 ms
--> CPU burst 1040 ms --> I/O burst 1340 ms
--> CPU burst 107 ms --> I/O burst 613 ms
--> CPU burst 1882 ms --> I/O burst 292 ms
--> CPU burst 359 ms --> I/O burst 623 ms
--> CPU burst 374 ms --> I/O burst 1019 ms
--> CPU burst 452 ms --> I/O burst 396 ms
--> CPU burst 359 ms --> I/O burst 893 ms
--> CPU burst 1814 ms --> I/O burst 824 ms
--> CPU burst 661 ms --> I/O burst 292 ms
--> CPU burst 235 ms --> I/O burst 77 ms
--> CPU burst 658 ms --> I/O burst 331 ms
--> CPU burst 1141 ms --> I/O burst 146 ms
--> CPU burst 696 ms --> I/O burst 760 ms
--> CPU burst 1143 ms --> I/O burst 2316 ms
--> CPU burst 585 ms --> I/O burst 1346 ms
--> CPU burst 2912 ms --> I/O burst 756 ms
--> CPU burst 506 ms --> I/O burst 1174 ms
--> CPU burst 2332 ms --> I/O burst 874 ms
--> CPU burst 1743 ms --> I/O burst 148 ms
--> CPU burst 146 ms --> I/O burst 1018 ms
--> CPU burst 652 ms --> I/O burst 676 ms
--> CPU burst 495 ms --> I/O burst 6 ms
--> CPU burst 240 ms --> I/O burst 1007 ms
--> CPU burst 957 ms --> I/O burst 600 ms
--> CPU burst 665 ms --> I/O burst 1536 ms
--> CPU burst 1664 ms --> I/O burst 733 ms
--> CPU burst 464 ms --> I/O burst 132 ms
--> CPU burst 252 ms --> I/O burst 662 ms
--> CPU burst 392 ms --> I/O burst 260 ms
--> CPU burst 1593 ms --> I/O burst 2287 ms
--> CPU burst 703 ms --> I/O burst 237 ms
--> CPU burst 318 ms --> I/O burst 751 ms
--> CPU burst 1118 ms --> I/O burst 207 ms
--> CPU burst 16 ms --> I/O burst 831 ms
--> CPU burst 591 ms --> I/O burst 1163 ms
--> CPU burst 881 ms --> I/O burst 356 ms
--> CPU burst 2272 ms --> I/O burst 263 ms
--> CPU burst 129 ms --> I/O burst 576 ms
--> CPU burst 261 ms --> I/O burst 357 ms
--> CPU burst 1219 ms --> I/O burst 2573 ms
--> CPU burst 26 ms --> I/O burst 745 ms
--> CPU burst 121 ms --> I/O burst 151 ms
--> CPU burst 347 ms
Process J [NEW] (arrival time 144 ms) 21 CPU bursts
--> CPU burst 2677 ms --> I/O burst 732 ms
--> CPU burst 15 ms --> I/O burst 227 ms
--> CPU burst 329 ms --> I/O burst 278 ms
--> CPU burst 326 ms --> I/O burst 1011 ms
--> CPU burst 57 ms --> I/O burst 637 ms
--> CPU burst 352 ms --> I/O burst 990 ms
--> CPU burst 239 ms --> I/O burst 279 ms
--> CPU burst 907 ms --> I/O burst 2903 ms
--> CPU burst 743 ms --> I/O burst 1436 ms
--> CPU burst 1567 ms --> I/O burst 865 ms
--> CPU burst 883 ms --> I/O burst 123 ms
--> CPU burst 38 ms --> I/O burst 2633 ms
--> CPU burst 2356 ms --> I/O burst 1473 ms
--> CPU burst 1342 ms --> I/O burst 926 ms
--> CPU burst 402 ms --> I/O burst 152 ms
--> CPU burst 510 ms --> I/O burst 435 ms
--> CPU burst 588 ms --> I/O burst 633 ms
--> CPU burst 86 ms --> I/O burst 2051 ms
--> CPU burst 235 ms --> I/O burst 270 ms
--> CPU burst 413 ms --> I/O burst 555 ms
--> CPU burst 409 ms
